,#Task,Step,numberOfAcceptedPeleSteps,currentEnergy,Binding Energy,sasaLig,RMSD_core,Processor
2,1,2,2,-6519.42,-24.2894,0.0174717,2.49925,39
3,1,3,3,-6520.32,-24.7021,0.0202915,2.6545,39
4,1,5,4,-6520.92,-24.2325,0.0187418,2.44771,39
5,1,6,5,-6518.16,-24.2666,0.0230532,2.6968099999999997,39
6,1,7,6,-6520.65,-24.5739,0.0223532,2.5123,39
7,1,8,7,-6520.65,-24.1313,0.018156400000000003,2.27489,39
8,1,9,8,-6520.32,-24.8369,0.017444,2.29488,39
9,1,10,9,-6521.48,-25.2659,0.014721399999999999,2.11805,39
10,1,11,10,-6519.82,-25.057,0.014230700000000002,2.0049099999999997,39
11,1,13,11,-6519.13,-24.0506,0.014721399999999999,1.8943,39
12,1,15,12,-6516.2,-24.7007,0.014230700000000002,2.0318,39
13,1,17,13,-6519.16,-24.7188,0.01374,1.82411,39
14,1,18,14,-6523.69,-24.8378,0.014230700000000002,1.87065,39
0,1,0,0,-6522.15,-23.1152,0.0214051,3.10227,43
1,1,1,1,-6521.87,-22.445999999999998,0.0224457,2.93891,43
2,1,3,2,-6519.45,-22.1071,0.021737299999999998,3.0365900000000003,43
3,1,7,3,-6520.4,-22.2288,0.018017099999999998,3.24858,43
4,1,9,4,-6521.29,-22.1572,0.0216815,3.05144,43
5,1,10,5,-6521.0,-22.0981,0.0202903,3.07084,43
6,1,15,6,-6521.65,-22.6749,0.0151434,3.32166,43
7,1,16,7,-6522.93,-23.0128,0.012859899999999999,3.38823,43
0,1,0,0,-6546.49,-29.843000000000004,0.00060442,1.8730799999999999,8
1,1,1,1,-6550.63,-29.6788,0.000344026,1.8689,8
2,1,2,2,-6550.69,-30.0702,0.0,1.8093700000000001,8
3,1,4,3,-6550.81,-29.7456,0.000612463,1.9348,8
4,1,6,4,-6549.0,-30.0504,0.000344026,1.97633,8
5,1,7,5,-6549.63,-29.8536,0.000344026,1.95491,8
6,1,8,6,-6550.97,-29.709,0.00060442,1.94298,8
7,1,9,7,-6551.32,-29.6336,0.0,1.75816,8
8,1,11,8,-6550.09,-29.5044,0.0,1.8123799999999999,8
9,1,12,9,-6548.11,-28.9969,0.000781181,2.07459,8
10,1,13,10,-6549.91,-29.2276,0.000344026,1.80893,8
11,1,18,11,-6548.65,-29.316,0.000260394,1.9237900000000001,8
12,1,19,12,-6550.54,-28.858,0.000612463,1.63125,8
13,1,20,13,-6549.36,-29.4001,0.00060442,1.7578900000000002,8
0,1,0,0,-6517.07,-24.0995,0.0113119,2.20284,36
1,1,1,1,-6518.32,-23.5744,0.0122955,2.0487599999999997,36
2,1,2,2,-6518.91,-23.5388,0.0127873,2.0194900000000002,36
3,1,5,3,-6520.64,-23.8447,0.014262799999999999,2.09741,36
4,1,6,4,-6524.02,-24.1443,0.013771,2.25236,36
5,1,9,5,-6523.07,-24.1127,0.0145324,2.3014799999999997,36
6,1,10,6,-6522.65,-23.9683,0.0140406,2.3103599999999997,36
7,1,11,7,-6524.28,-24.1015,0.0132791,2.3355900000000003,36
8,1,13,8,-6522.13,-24.3024,0.0132791,2.23576,36
9,1,17,9,-6522.45,-24.118000000000002,0.0145799,2.60898,36
10,1,18,10,-6522.98,-24.2699,0.013596200000000001,2.5373799999999997,36
11,1,20,11,-6520.62,-24.1914,0.0155145,2.84659,36
0,1,0,0,-6510.47,-22.5559,0.0194773,2.7382400000000002,41
1,1,1,1,-6512.76,-24.4412,0.0197882,2.58829,41
2,1,2,2,-6515.77,-24.7391,0.016637400000000004,2.43676,41
3,1,3,3,-6515.06,-25.1112,0.0168675,2.26759,41
4,1,4,4,-6516.97,-25.6175,0.014317400000000001,2.40043,41
5,1,5,5,-6517.98,-25.3766,0.0153385,2.5175799999999997,41
6,1,6,6,-6519.23,-24.7501,0.014953999999999999,2.36157,41
7,1,7,7,-6522.24,-24.5872,0.013644100000000001,2.32821,41
8,1,8,8,-6524.56,-24.2872,0.017690400000000002,2.88525,41
9,1,11,9,-6521.83,-23.7436,0.0164268,3.02038,41
10,1,12,10,-6521.92,-24.1939,0.014052700000000001,3.38415,41
11,1,19,11,-6524.21,-23.7675,0.013734999999999999,3.31854,41
0,1,0,0,-6544.16,-29.5347,0.0006905219999999999,1.7415,15
1,1,1,1,-6545.27,-29.5345,0.00034526099999999997,1.82687,15
2,1,2,2,-6545.26,-29.9036,0.0,1.90612,15
3,1,4,3,-6545.68,-29.8408,0.0007839839999999999,2.0804099999999996,15
4,1,6,4,-6548.78,-29.8734,0.0,1.82282,15
