,#Task,Step,numberOfAcceptedPeleSteps,currentEnergy,Binding Energy,sasaLig,RMSD_core,Processor
6,1,8,6,-6535.73,-28.559,0.0,1.84822,43
7,1,9,7,-6534.67,-28.8414,0.0,1.9326400000000001,43
8,1,11,8,-6534.0,-28.9365,0.000255318,1.98063,43
9,1,13,9,-6533.04,-28.7588,0.0,2.3305700000000003,43
10,1,14,10,-6533.14,-28.7477,0.0,2.1699,43
11,1,20,11,-6533.0,-28.4184,0.0,1.7571900000000003,43
0,1,0,0,-6519.94,-26.7762,0.00979195,0.977391,8
1,1,1,1,-6525.91,-27.2195,0.010773600000000001,1.1437899999999999,8
2,1,3,2,-6527.22,-27.3913,0.00977771,0.995382,8
3,1,8,3,-6526.43,-27.9104,0.00983582,0.924761,8
4,1,10,4,-6522.95,-27.7592,0.00958381,0.8805879999999999,8
5,1,11,5,-6523.8,-27.5577,0.00912575,1.1335600000000001,8
6,1,13,6,-6523.73,-27.2809,0.010599299999999999,1.27526,8
7,1,16,7,-6522.92,-27.3613,0.0124727,1.25993,8
8,1,17,8,-6519.87,-26.9036,0.011117499999999999,1.32479,8
9,1,18,9,-6515.08,-27.8977,0.0110256,1.12677,8
10,1,20,10,-6513.62,-27.5801,0.00986962,1.26535,8
0,1,0,0,-6527.33,-26.4673,0.0159634,1.34988,36
1,1,1,1,-6526.08,-27.6445,0.014868200000000002,0.8989229999999999,36
2,1,2,2,-6525.46,-27.6363,0.013415,0.8676530000000001,36
3,1,3,3,-6522.1,-26.2947,0.0150472,0.953675,36
4,1,4,4,-6530.77,-27.8367,0.014708700000000002,0.80787,36
5,1,6,5,-6531.17,-28.0139,0.014091999999999999,0.8831370000000001,36
6,1,7,6,-6532.3,-27.5611,0.0144305,0.954434,36
7,1,8,7,-6535.36,-27.2914,0.015147,1.02424,36
8,1,10,8,-6534.45,-26.6079,0.0158039,1.08932,36
9,1,11,9,-6536.76,-26.388,0.016659900000000002,1.25014,36
10,1,12,10,-6534.66,-26.5164,0.0159433,1.18287,36
11,1,15,11,-6536.07,-25.6865,0.0163415,1.29109,36
12,1,16,12,-6535.74,-26.2128,0.0148487,1.27547,36
13,1,17,13,-6535.59,-27.0934,0.013455200000000002,1.0271700000000001,36
14,1,18,14,-6535.31,-25.96,0.013475200000000001,1.22936,36
15,1,19,15,-6538.59,-27.2545,0.013793600000000001,1.05665,36
16,1,20,16,-6539.11,-26.9417,0.013216499999999999,1.26995,36
0,1,0,0,-6510.54,-29.0532,0.00847042,1.6051799999999998,41
1,1,1,1,-6510.69,-29.8931,0.00888072,1.51115,41
2,1,2,2,-6515.58,-30.2904,0.00854349,1.57535,41
3,1,3,3,-6515.23,-29.6839,0.00752298,1.48643,41
4,1,6,4,-6520.18,-30.1762,0.00754887,1.58332,41
5,1,7,5,-6519.92,-29.6565,0.00718294,1.4946700000000002,41
6,1,9,6,-6520.35,-30.2344,0.00814383,1.51889,41
7,1,10,7,-6523.63,-31.7704,0.00828072,1.53557,41
8,1,11,8,-6524.38,-32.0217,0.00824783,1.4879799999999999,41
9,1,15,9,-6523.9,-32.1044,0.0080587,1.46401,41
10,1,16,10,-6521.31,-31.7832,0.00601935,1.5006,41
11,1,17,11,-6523.59,-32.8538,0.00791479,1.58965,41
12,1,18,12,-6525.66,-32.5963,0.00743785,1.49956,41
13,1,19,13,-6526.45,-32.2485,0.006673100000000001,1.35572,41
0,1,0,0,-6519.98,-29.3621,0.015072,2.16606,15
1,1,1,1,-6522.48,-30.0915,0.016311199999999998,2.0972299999999997,15
2,1,2,2,-6522.75,-30.5726,0.0164622,2.37641,15
3,1,3,3,-6523.65,-28.2017,0.0177035,2.39427,15
4,1,4,4,-6522.05,-29.0115,0.00897464,2.39004,15
5,1,5,5,-6523.73,-28.9125,0.00164955,2.13737,15
6,1,10,6,-6524.13,-29.0135,0.00139233,2.09975,15
7,1,11,7,-6525.34,-28.495,0.00164955,1.90408,15
8,1,12,8,-6531.85,-28.1939,0.00216399,1.7135799999999999,15
9,1,13,9,-6532.55,-28.7169,0.00180055,1.92667,15
10,1,15,10,-6534.37,-28.4859,0.0034500999999999998,1.7992700000000001,15
11,1,16,11,-6538.37,-28.5812,0.0034500999999999998,1.82877,15
0,1,0,0,-6521.25,-31.7318,0.00855435,1.55364,22
1,1,2,1,-6522.37,-30.9335,0.00869857,1.48432,22
2,1,3,2,-6521.24,-30.8834,0.00833184,1.4409,22
3,1,4,3,-6520.34,-32.0587,0.00806871,1.53912,22
4,1,6,4,-6518.94,-31.9803,0.00843675,1.6007,22
5,1,7,5,-6516.76,-32.5856,0.00700914,1.58594,22
6,1,9,6,-6520.71,-33.1676,0.00719234,1.59627,22
7,1,11,7,-6521.55,-33.5762,0.00737587,1.56237,22
8,1,12,8,-6520.29,-33.5867,0.00836481,1.5349899999999999,22
9,1,13,9,-6524.79,-33.3724,0.00873154,1.5291,22
10,1,14,10,-6522.89,-33.0823,0.00862029,1.49728,22
11,1,17,11,-6522.95,-33.2115,0.00941969,1.58241,22
12,1,19,12,-6522.15,-32.5997,0.00810933,1.4126,22
0,1,0,0,-6523.98,-30.7783,0.0142451,2.2435099999999997,16
1,1,1,1,-6525.56,-30.7634,0.012569499999999999,1.9915,16
2,1,2,2,-6527.29,-30.815,0.0150082,2.14204,16
3,1,3,3,-6529.85,-30.4918,0.013481899999999998,1.87346,16
4,1,4,4,-6530.4,-31.2418,0.015876400000000002,2.09219,16
5,1,6,5,-6529.46,-30.4389,0.0144994,1.9564400000000002,16
6,1,7,6,-6531.01,-30.3629,0.0157713,1.93662,16
7,1,8,7,-6531.14,-30.2227,0.0146045,2.07753,16
8,1,9,8,-6532.9,-30.3071,0.0151132,2.3386400000000003,16
9,1,10,9,-6530.78,-29.524,0.0146045,2.1272,16
10,1,11,10,-6531.7,-29.824,0.0140957,2.4189,16
11,1,12,11,-6532.33,-30.427,0.017762,2.45273,16
12,1,13,12,-6535.66,-30.331,0.016280100000000002,2.5156400000000003,16
13,1,15,13,-6535.83,-31.8891,0.0256483,3.56725,16
14,1,16,14,-6538.13,-31.9602,0.0253032,3.67668,16
15,1,17,15,-6539.94,-32.434,0.028830900000000003,3.85131,16
16,1,19,16,-6544.0,-34.6959,0.032171899999999996,3.9058900000000003,16
17,1,20,17,-6544.71,-35.0915,0.0329793,4.01069,16
0,1,0,0,-6524.68,-31.212,0.0120634,1.69261,25
1,1,1,1,-6527.83,-31.0633,0.011389299999999998,1.6317,25
2,1,2,2,-6527.34,-30.7216,0.00954341,1.54366,25
3,1,3,3,-6527.16,-31.2968,0.00960228,1.54683,25
4,1,7,4,-6528.78,-31.8306,0.00916993,1.62163,25
5,1,9,5,-6528.04,-31.8016,0.00858711,1.72242,25
6,1,10,6,-6527.97,-31.9693,0.00924182,1.7070599999999998,25
7,1,11,7,-6527.65,-32.4005,0.0101189,1.807,25
8,1,12,8,-6528.23,-31.896,0.0110093,1.70501,25
9,1,13,9,-6528.55,-32.4108,0.0108847,1.73238,25
10,1,17,10,-6528.74,-31.8227,0.00905241,1.6244,25
11,1,18,11,-6528.02,-32.0043,0.0104134,1.6423400000000001,25
0,1,0,0,-6521.25,-31.7318,0.00855435,1.55364,21
1,1,1,1,-6519.16,-31.119,0.00920953,1.46173,21
2,1,2,2,-6524.72,-32.0159,0.00886217,1.50386,21
3,1,7,3,-6524.93,-31.6771,0.00862029,1.3793600000000001,21
4,1,9,4,-6525.36,-32.7115,0.00909827,1.4954,21
5,1,13,5,-6523.63,-31.99,0.009242499999999999,1.3564,21
6,1,14,6,-6521.97,-32.6583,0.00996962,1.3879,21
7,1,16,7,-6522.07,-32.6263,0.00989768,1.44042,21
8,1,17,8,-6528.26,-33.0434,0.00825356,1.4737799999999999,21
9,1,19,9,-6527.16,-32.9723,0.00796511,1.38586,21
0,1,0,0,-6518.24,-31.4371,0.0112838,1.72315,1
1,1,1,1,-6522.24,-32.0779,0.0090606,1.66705,1
2,1,2,2,-6522.92,-33.0742,0.010888799999999999,1.71774,1
3,1,3,3,-6521.6,-32.9569,0.00887765,1.7099099999999998,1
4,1,4,4,-6522.24,-33.327,0.00953509,1.7457099999999999,1
5,1,5,5,-6521.46,-33.2835,0.00953509,1.6842099999999998,1
6,1,7,6,-6522.31,-33.0148,0.010632299999999999,1.6755799999999998,1
7,1,15,7,-6519.96,-32.8627,0.00821383,1.62707,1
8,1,18,8,-6520.87,-32.7778,0.00784564,1.6017700000000001,1
9,1,20,9,-6522.56,-32.8921,0.0085429,1.6306399999999999,1
0,1,0,0,-6536.41,-25.6369,0.0172583,0.5733739999999999,29
1,1,1,1,-6537.48,-25.7757,0.0171088,0.771889,29
2,1,2,2,-6537.94,-25.7621,0.0149833,0.7409789999999999,29
3,1,3,3,-6539.44,-25.9988,0.0164501,0.645784,29
4,1,4,4,-6539.81,-26.2134,0.0161512,0.7458229999999999,29
5,1,5,5,-6538.82,-26.2048,0.0161955,0.689801,29
6,1,6,6,-6540.49,-26.497,0.0156863,0.654751,29
7,1,7,7,-6540.92,-26.3634,0.013992600000000001,0.650825,29
8,1,9,8,-6541.63,-26.355,0.015658500000000002,0.747445,29
9,1,10,9,-6541.1,-26.4235,0.014368899999999999,0.78065,29
10,1,12,10,-6539.96,-26.4429,0.0150719,0.693234,29
11,1,13,11,-6542.41,-27.3257,0.0155368,0.713021,29
12,1,15,12,-6542.93,-27.2354,0.0128093,0.662718,29
0,1,0,0,-6518.09,-31.3459,0.013922200000000001,2.0662599999999998,18
1,1,1,1,-6527.71,-30.0178,0.018678,2.44568,18
2,1,2,2,-6529.28,-29.1993,0.0135773,2.39473,18
3,1,3,3,-6533.12,-28.6657,0.00251408,2.06218,18
4,1,4,4,-6539.6,-29.2346,0.00112911,2.1217599999999996,18
5,1,8,5,-6537.83,-29.2899,0.0017465,2.11165,18
