,#Task,Step,numberOfAcceptedPeleSteps,currentEnergy,Binding Energy,sasaLig,RMSD_core,Processor
7,1,9,7,-6521.2,-24.322,0.00427626,0.7647390000000001,43
8,1,11,8,-6523.59,-24.3199,0.0036145000000000005,0.988151,43
9,1,12,9,-6522.06,-25.1586,0.00401808,0.698696,43
10,1,13,10,-6521.53,-24.6346,0.00367173,0.812426,43
11,1,14,11,-6524.23,-24.3841,0.00335632,1.03599,43
12,1,15,12,-6523.69,-26.3566,0.0036145000000000005,1.27457,43
13,1,17,13,-6525.64,-28.5566,0.00413086,1.58145,43
0,1,0,0,-6508.71,-28.8159,0.00361287,1.01973,8
1,1,1,1,-6520.5,-31.9454,0.00154837,1.31472,8
2,1,2,2,-6519.49,-32.8685,0.0020645,1.67452,8
3,1,3,3,-6524.14,-32.9775,0.00180643,1.58648,8
4,1,5,4,-6528.83,-32.7433,0.00180643,1.5486,8
5,1,6,5,-6530.95,-33.2788,0.00129031,1.6489900000000002,8
6,1,9,6,-6533.33,-33.1015,0.00129031,1.6500099999999998,8
7,1,13,7,-6540.24,-32.781,0.0020645,1.69955,8
8,1,15,8,-6540.82,-32.3979,0.00180643,1.3242399999999999,8
9,1,17,9,-6541.27,-33.1151,0.00129031,1.54017,8
10,1,19,10,-6536.88,-32.5279,0.00129031,1.33828,8
0,1,0,0,-6533.71,-25.5218,0.0145624,2.0533900000000003,36
1,1,1,1,-6538.68,-24.9114,0.015017500000000001,2.07326,36
2,1,2,2,-6546.05,-24.406,0.0159276,2.04625,36
3,1,5,3,-6543.85,-24.2037,0.0154725,2.00068,36
4,1,9,4,-6541.08,-24.0847,0.0168378,2.05511,36
5,1,10,5,-6539.06,-23.861,0.01755,1.82804,36
6,1,11,6,-6538.72,-24.3121,0.016897099999999998,1.8616099999999998,36
7,1,12,7,-6538.31,-24.1093,0.0178072,1.77457,36
8,1,13,8,-6543.77,-23.86,0.0178072,1.7255,36
9,1,17,9,-6542.68,-24.1172,0.0173521,1.71567,36
0,1,0,0,-6510.12,-24.0037,0.00343846,0.75332,41
1,1,1,1,-6514.69,-23.7814,0.00388334,0.7112890000000001,41
2,1,2,2,-6521.66,-25.4775,0.00414222,0.704179,41
3,1,5,3,-6522.07,-28.9147,0.0,1.2702,41
4,1,14,4,-6522.13,-24.8237,0.00369735,0.665971,41
5,1,16,5,-6521.54,-25.1324,0.00421513,0.7067100000000001,41
6,1,17,6,-6521.04,-25.4011,0.00454692,0.633685,41
7,1,18,7,-6518.28,-25.0355,0.00532358,0.735427,41
8,1,20,8,-6514.72,-24.6068,0.00472515,0.8674,41
0,1,0,0,-6509.65,-32.9671,0.00103133,1.6177700000000002,15
1,1,1,1,-6522.77,-33.3521,0.00103133,1.7155099999999999,15
2,1,2,2,-6524.36,-33.6,0.000515665,1.85375,15
3,1,3,3,-6526.95,-33.2417,0.000257832,1.8304900000000002,15
4,1,8,4,-6532.25,-33.3998,0.0007734969999999999,1.99795,15
5,1,9,5,-6536.41,-33.366,0.00103133,2.02588,15
6,1,10,6,-6536.5,-33.7008,0.0007734969999999999,2.07222,15
7,1,11,7,-6536.0,-33.5527,0.00103133,1.71026,15
8,1,13,8,-6537.13,-32.9094,0.00154699,1.8685599999999998,15
9,1,14,9,-6537.49,-33.3562,0.00103133,1.8949599999999998,15
10,1,15,10,-6538.42,-33.2757,0.00103133,1.87946,15
11,1,16,11,-6536.39,-32.722,0.00128916,1.5324799999999998,15
12,1,17,12,-6538.71,-32.5337,0.00128916,1.4224700000000001,15
13,1,18,13,-6539.01,-32.8306,0.00103133,1.6960099999999998,15
14,1,19,14,-6538.69,-32.5317,0.00154699,1.71574,15
15,1,20,15,-6539.82,-31.9479,0.00128916,1.47966,15
0,1,0,0,-6536.8,-31.3244,0.00258049,1.21069,22
1,1,1,1,-6537.72,-31.2581,0.00335464,1.1359700000000001,22
2,1,2,2,-6539.19,-31.8768,0.00283854,1.3038299999999998,22
3,1,4,3,-6542.05,-31.2157,0.00335464,1.16194,22
4,1,11,4,-6540.05,-31.9705,0.00283854,1.33513,22
5,1,12,5,-6542.45,-32.3875,0.00361269,1.37486,22
6,1,15,6,-6538.35,-32.2031,0.00361269,1.4269,22
7,1,17,7,-6538.66,-31.6507,0.00565389,1.33689,22
8,1,18,8,-6541.28,-31.6412,0.00489521,1.4210200000000002,22
9,1,19,9,-6540.51,-31.3581,0.00361269,1.42235,22
10,1,20,10,-6539.63,-31.3189,0.00490294,1.2932,22
0,1,0,0,-6534.2,-31.6923,0.0012881,1.28277,16
1,1,1,1,-6532.78,-31.1233,0.0012881,1.2282899999999999,16
2,1,4,2,-6534.35,-31.164,0.0012881,1.11724,16
3,1,5,3,-6535.11,-30.8303,0.00154572,1.1163100000000001,16
4,1,6,4,-6536.54,-31.6635,0.0012881,1.2934,16
5,1,8,5,-6536.37,-31.9669,0.00206097,1.36986,16
6,1,9,6,-6538.79,-31.2726,0.00334907,1.5146600000000001,16
7,1,10,7,-6541.59,-31.366,0.00257621,1.49801,16
8,1,12,8,-6539.83,-30.7443,0.00283383,1.23205,16
9,1,13,9,-6540.02,-31.0177,0.00283383,1.32954,16
10,1,14,10,-6541.95,-30.506999999999998,0.00231859,1.21845,16
11,1,15,11,-6541.85,-31.2446,0.00283383,1.36642,16
12,1,16,12,-6543.42,-30.9854,0.00257621,1.44626,16
0,1,0,0,-6536.8,-31.3244,0.00258049,1.21069,25
1,1,1,1,-6536.52,-31.9451,0.00283081,1.37297,25
2,1,2,2,-6536.74,-31.8241,0.00283854,1.4049200000000002,25
3,1,3,3,-6535.34,-32.0739,0.00386301,1.30785,25
4,1,4,4,-6534.12,-31.6942,0.00487974,1.27649,25
5,1,5,5,-6538.68,-32.1426,0.00308113,1.35216,25
6,1,6,6,-6539.79,-32.3325,0.00335464,1.36989,25
7,1,9,7,-6539.28,-32.173,0.0015482999999999998,1.25417,25
8,1,10,8,-6537.48,-32.0555,0.00204893,1.4066299999999998,25
9,1,11,9,-6539.08,-31.6116,0.0015482999999999998,1.22062,25
10,1,13,10,-6540.07,-32.2187,0.00254184,1.40848,25
