,#Task,Step,numberOfAcceptedPeleSteps,currentEnergy,Binding Energy,sasaLig,RMSD_core,Processor
6,1,12,6,-6536.0,-19.2103,0.019144400000000002,1.54189,39
7,1,13,7,-6534.17,-19.8315,0.018384099999999997,1.53693,39
8,1,14,8,-6531.63,-19.9405,0.021931799999999998,1.5011,39
9,1,16,9,-6532.96,-19.5383,0.021931799999999998,1.47027,39
10,1,17,10,-6532.06,-18.5902,0.0175548,1.56948,39
11,1,18,11,-6533.85,-19.4039,0.020872099999999998,1.5230299999999999,39
12,1,19,12,-6534.27,-19.1462,0.0190521,1.54511,39
13,1,20,13,-6535.0,-19.2728,0.017324400000000004,1.53674,39
0,1,0,0,-6539.28,-21.3568,0.0133965,0.6665909999999999,43
1,1,1,1,-6541.17,-21.3792,0.0126381,0.680595,43
2,1,3,2,-6542.69,-21.4453,0.012868000000000001,0.6484409999999999,43
3,1,5,3,-6541.98,-21.7248,0.0122705,0.63243,43
4,1,6,4,-6544.12,-21.5988,0.0113744,0.670142,43
5,1,7,5,-6545.22,-21.6951,0.0120182,0.873434,43
6,1,8,6,-6545.76,-21.6523,0.010892200000000001,0.88341,43
7,1,9,7,-6545.55,-21.5031,0.012662,1.09028,43
8,1,13,8,-6546.13,-21.4554,0.011145200000000001,1.04483,43
9,1,15,9,-6545.11,-21.2771,0.011053200000000001,1.08366,43
10,1,16,10,-6546.72,-21.5689,0.0116506,1.00352,43
11,1,17,11,-6544.44,-21.4214,0.012592399999999998,0.9384610000000001,43
12,1,18,12,-6545.53,-21.1693,0.0129143,0.9289950000000001,43
13,1,19,13,-6545.39,-21.5286,0.010869,0.856942,43
14,1,20,14,-6545.56,-21.6701,0.0119029,0.7868470000000001,43
0,1,0,0,-6538.32,-26.6049,0.000968558,1.8654700000000002,8
1,1,1,1,-6540.93,-26.6682,0.00187047,1.75141,8
2,1,2,2,-6540.67,-26.2967,0.00107123,1.75855,8
3,1,3,3,-6539.98,-26.1753,0.00119355,1.69513,8
4,1,4,4,-6542.13,-26.5238,0.000977565,1.8878400000000002,8
5,1,9,5,-6541.82,-26.7734,0.0008839000000000001,2.05914,8
6,1,10,6,-6543.11,-26.7605,0.00117553,2.12621,8
7,1,12,7,-6543.4,-26.7636,0.000592269,1.9543599999999999,8
8,1,14,8,-6541.8,-26.7674,0.000676927,1.87355,8
9,1,15,9,-6539.95,-26.4518,0.000291631,1.6409900000000002,8
10,1,17,10,-6540.05,-26.8748,0.00149418,1.81835,8
11,1,18,11,-6538.83,-27.0641,0.00106222,1.88762,8
12,1,19,12,-6539.59,-26.1335,0.000291631,1.6946700000000001,8
13,1,20,13,-6540.62,-26.9427,0.000892907,1.6877,8
0,1,0,0,-6522.95,-20.4647,0.0154733,1.24674,36
1,1,1,1,-6528.3,-21.0705,0.015359200000000002,1.04215,36
2,1,2,2,-6532.92,-21.255,0.01636,0.960772,36
3,1,3,3,-6536.36,-21.1047,0.0166329,0.9222610000000001,36
4,1,4,4,-6538.25,-21.0214,0.016177700000000003,0.878242,36
5,1,5,5,-6537.62,-20.6664,0.015677299999999998,0.8898889999999999,36
6,1,6,6,-6540.75,-20.654,0.0182029,0.815045,36
7,1,7,7,-6543.68,-20.5332,0.017315599999999997,0.825528,36
8,1,8,8,-6544.89,-20.4776,0.0167463,0.719015,36
9,1,9,9,-6549.68,-20.4332,0.0148352,0.78575,36
10,1,10,10,-6547.49,-20.3676,0.0160183,0.7952779999999999,36
11,1,11,11,-6548.21,-20.6633,0.0148352,0.7899390000000001,36
12,1,12,12,-6548.17,-20.6358,0.014812200000000001,0.761217,36
13,1,13,13,-6547.84,-20.6608,0.013993100000000001,0.751532,36
0,1,0,0,-6514.81,-18.8162,0.0174857,2.07097,41
1,1,1,1,-6519.15,-18.8667,0.0178768,2.3014200000000002,41
2,1,2,2,-6518.81,-18.7399,0.017639099999999998,2.28956,41
3,1,4,3,-6518.58,-18.875999999999998,0.0185932,2.64458,41
4,1,5,4,-6518.37,-18.6127,0.0193047,2.65389,41
5,1,6,5,-6518.58,-18.0444,0.021746500000000002,2.71231,41
6,1,9,6,-6523.0,-18.2163,0.0213717,2.67613,41
7,1,10,7,-6527.38,-18.2146,0.0196815,2.5573799999999998,41
8,1,11,8,-6530.82,-18.7009,0.019082599999999998,2.61033,41
9,1,15,9,-6528.8,-18.6805,0.0177234,2.51459,41
10,1,16,10,-6531.72,-18.5258,0.0213538,2.61804,41
11,1,17,11,-6533.62,-18.413,0.0234231,2.61563,41
0,1,0,0,-6547.64,-28.9121,0.00467361,3.62985,15
1,1,1,1,-6548.9,-28.7496,0.00474262,3.57021,15
2,1,6,2,-6549.74,-28.7943,0.00527216,3.45203,15
3,1,7,3,-6546.51,-28.7819,0.00610097,3.5491800000000002,15
4,1,8,4,-6547.78,-28.9209,0.00513413,3.66574,15
5,1,11,5,-6545.1,-28.9842,0.00490387,3.5409,15
6,1,12,6,-6545.55,-29.1486,0.00407506,3.4331300000000002,15
7,1,13,7,-6547.43,-29.1542,0.00539575,3.51209,15
8,1,14,8,-6547.57,-28.8024,0.00391381,3.47623,15
9,1,15,9,-6549.35,-29.0864,0.00421308,3.59776,15
10,1,16,10,-6549.65,-28.8417,0.00285473,3.43149,15
11,1,17,11,-6550.4,-28.9845,0.00458137,3.5260599999999998,15
12,1,19,12,-6549.02,-28.8842,0.00361453,3.5915199999999996,15
13,1,20,13,-6547.55,-28.805,0.00414407,3.59018,15
0,1,0,0,-6539.21,-26.7042,0.00167393,1.8365599999999997,22
1,1,6,1,-6538.21,-26.6312,0.00157117,1.96412,22
2,1,7,2,-6538.0,-26.5192,0.0012099,2.02051,22
3,1,8,3,-6540.42,-26.3518,0.00228372,2.0971,22
4,1,10,4,-6540.63,-26.5706,0.00228372,2.17093,22
5,1,11,5,-6541.02,-26.6872,0.00171795,2.08727,22
6,1,13,6,-6541.07,-26.5884,0.0013657,2.20758,22
7,1,14,7,-6541.57,-26.8678,0.00228372,2.31848,22
8,1,18,8,-6542.76,-27.0876,0.0024305,2.9170700000000003,22
9,1,19,9,-6543.41,-28.3916,0.00409709,3.39735,22
10,1,20,10,-6545.68,-28.7385,0.00523128,3.61726,22
0,1,0,0,-6547.64,-28.9121,0.00467361,3.62985,16
1,1,1,1,-6549.06,-28.9864,0.00421308,3.53232,16
2,1,2,2,-6548.52,-29.1065,0.00539575,3.47188,16
